% WordBreakProperty-10.0.0.txt
% Date: 2017-03-10, 02:00:42 GMT
% © 2017 Unicode®, Inc.
% Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
% For terms of use, see http://www.unicode.org/terms_of_use.html
%
% Unicode Character Database
%   For documentation, see http://www.unicode.org/reports/tr44/

% ================================================

% Property:	Word_Break

%  All code points not explicitly listed for Word_Break
%  have the value Other (XX).

% @missing: 16#0000..16#10FFFF; Other

% ================================================

16#094E..16#094F    ; Extend % Mc   [2] DEVANAGARI VOWEL SIGN PRISHTHAMATRA E..16#DEVANAGARI VOWEL SIGN AW
16#0951..16#0957    ; Extend % Mn   [7] DEVANAGARI STRESS SIGN UDATTA..16#DEVANAGARI VOWEL SIGN UUE
16#0962..16#0963    ; Extend % Mn   [2] DEVANAGARI VOWEL SIGN VOCALIC L..16#DEVANAGARI VOWEL SIGN VOCALIC LL
16#0981          ; Extend % Mn       BENGALI SIGN CANDRABINDU
16#0982..16#0983    ; Extend % Mc   [2] BENGALI SIGN ANUSVARA..16#BENGALI SIGN VISARGA
16#09BC          ; Extend % Mn       BENGALI SIGN NUKTA
16#09BE..16#09C0    ; Extend % Mc   [3] BENGALI VOWEL SIGN AA..16#BENGALI VOWEL SIGN II
16#09C1..16#09C4    ; Extend % Mn   [4] BENGALI VOWEL SIGN U..16#BENGALI VOWEL SIGN VOCALIC RR
16#09C7..16#09C8    ; Extend % Mc   [2] BENGALI VOWEL SIGN E..16#BENGALI VOWEL SIGN AI
16#09CB..16#09CC    ; Extend % Mc   [2] BENGALI VOWEL SIGN O..16#BENGALI VOWEL SIGN AU
16#09CD          ; Extend % Mn       BENGALI SIGN VIRAMA
16#09D7          ; Extend % Mc       BENGALI AU LENGTH MARK
16#09E2..16#09E3    ; Extend % Mn   [2] BENGALI VOWEL SIGN VOCALIC L..16#BENGALI VOWEL SIGN VOCALIC LL
